"Olympic Games","Total Participating Countries",
"1896 Summer",12,
"1900 Summer",31,
"1904 Summer",14,
"1906 Summer",20,
"1908 Summer",22,
"1912 Summer",29,
"1920 Summer",29,
"1924 Summer",45,
"1924 Winter",19,
"1928 Summer",46,
"1928 Winter",25,
"1932 Summer",47,
"1932 Winter",17,
"1936 Summer",49,
"1936 Winter",28,
"1948 Summer",58,
"1948 Winter",28,
"1952 Summer",66,
"1952 Winter",30,
"1956 Summer",70,
"1956 Winter",32,
"1960 Summer",82,
"1960 Winter",30,
"1964 Summer",93,
"1964 Winter",36,
"1968 Summer",110,
"1968 Winter",36,
"1972 Summer",119,
"1972 Winter",34,
"1976 Summer",90,
"1976 Winter",36,
"1980 Summer",80,
"1980 Winter",36,
"1984 Summer",138,
"1984 Winter",48,
"1988 Summer",155,
"1988 Winter",56,
"1992 Summer",167,
"1992 Winter",64,
"1994 Winter",67,
"1996 Summer",195,
"1998 Winter",72,
"2000 Summer",198,
"2002 Winter",76,
"2004 Summer",199,
"2006 Winter",78,
"2008 Summer",202,
"2010 Winter",81,
"2012 Summer",203,
"2014 Winter",88,
"2016 Summer",204,
