"Olympic Games","Sports Played",
"1896 Summer",9,
"1900 Summer",20,
"1904 Summer",18,
"1906 Summer",13,
"1908 Summer",24,
"1912 Summer",17,
"1920 Summer",25,
"1924 Summer",20,
"1924 Winter",10,
"1928 Summer",17,
"1928 Winter",8,
"1932 Summer",18,
"1932 Winter",7,
"1936 Summer",24,
"1936 Winter",8,
"1948 Summer",20,
"1948 Winter",9,
"1952 Summer",19,
"1952 Winter",8,
"1956 Summer",19,
"1956 Winter",8,
"1960 Summer",19,
"1960 Winter",8,
"1964 Summer",21,
"1964 Winter",10,
"1968 Summer",20,
"1968 Winter",10,
"1972 Summer",23,
"1972 Winter",10,
"1976 Summer",23,
"1976 Winter",10,
"1980 Summer",23,
"1980 Winter",10,
"1984 Summer",25,
"1984 Winter",10,
"1988 Summer",27,
"1988 Winter",10,
"1992 Summer",29,
"1992 Winter",12,
"1994 Winter",12,
"1996 Summer",31,
"1998 Winter",14,
"2000 Summer",34,
"2002 Winter",15,
"2004 Summer",34,
"2006 Winter",15,
"2008 Summer",34,
"2010 Winter",15,
"2012 Summer",32,
"2014 Winter",15,
"2016 Summer",34,
