"Olympic Games","Country","Gold","Silver","Bronze","Total"
"1896 Summer","Greece",10,18,20,48
"1896 Summer","Germany",25,5,2,32
"1896 Summer","USA",11,7,2,20
"1896 Summer","France",5,4,2,11
"1896 Summer","UK",3,3,3,9
"1896 Summer","Hungary",2,1,3,6
"1896 Summer","Denmark",1,2,3,6
"1896 Summer","Austria",2,1,2,5
"1896 Summer","Australia",2,0,1,3
"1896 Summer","Switzerland",1,2,0,3
"1896 Summer","Sweden",0,0,0,0
"1896 Summer","Italy",0,0,0,0
"1900 Summer","France",52,101,82,235
"1900 Summer","UK",59,34,15,108
"1900 Summer","USA",30,16,17,63
"1900 Summer","Germany",14,20,11,45
"1900 Summer","Belgium",6,24,13,43
"1900 Summer","Netherlands",3,8,16,27
"1900 Summer","Switzerland",16,4,1,21
"1900 Summer","Denmark",4,3,2,9
"1900 Summer","Norway",0,6,3,9
"1900 Summer","Australia",3,0,3,6
"1900 Summer","Austria",0,3,3,6
"1900 Summer","Italy",3,2,0,5
"1900 Summer","Hungary",1,2,2,5
"1900 Summer","Sweden",3,0,1,4
"1900 Summer","Czech Republic",0,1,2,3
"1900 Summer","Mexico",0,0,3,3
"1900 Summer","Spain",2,0,0,2
"1900 Summer","Cuba",1,1,0,2
"1900 Summer","Canada",1,0,1,2
"1900 Summer","India",0,2,0,2
"1900 Summer","Luxembourg",1,0,0,1
"1900 Summer","Haiti",1,0,0,1
"1900 Summer","New Zealand",1,0,0,1
"1900 Summer","Colombia",0,1,0,1
"1900 Summer","Argentina",0,0,0,0
"1900 Summer","Greece",0,0,0,0
"1900 Summer","Iran",0,0,0,0
"1900 Summer","Peru",0,0,0,0
"1900 Summer","Brazil",0,0,0,0
"1900 Summer","Russia",0,0,0,0
"1900 Summer","Romania",0,0,0,0
"1904 Summer","USA",128,141,125,394
"1904 Summer","Canada",27,9,12,48
"1904 Summer","Germany",4,5,7,16
"1904 Summer","Cuba",5,0,0,5
"1904 Summer","Austria",2,1,1,4
"1904 Summer","Hungary",2,1,1,4
"1904 Summer","Australia",0,3,1,4
"1904 Summer","Switzerland",1,0,2,3
"1904 Summer","Norway",2,0,0,2
"1904 Summer","UK",1,1,0,2
"1904 Summer","Greece",1,0,1,2
"1904 Summer","France",0,2,0,2
"1904 Summer","South Africa",0,0,0,0
"1904 Summer","Italy",0,0,0,0
"1906 Summer","Greece",24,48,30,102
"1906 Summer","France",20,16,28,64
"1906 Summer","Italy",21,8,27,56
"1906 Summer","UK",9,22,8,39
"1906 Summer","Denmark",14,19,1,34
"1906 Summer","Germany",14,10,6,30
"1906 Summer","Norway",20,5,0,25
"1906 Summer","USA",12,6,6,24
"1906 Summer","Sweden",2,5,14,21
"1906 Summer","Hungary",5,5,3,13
"1906 Summer","Switzerland",8,3,1,12
"1906 Summer","Belgium",2,3,6,11
"1906 Summer","Austria",3,3,3,9
"1906 Summer","Netherlands",0,1,5,6
"1906 Summer","Finland",2,1,1,4
"1906 Summer","Czech Republic",0,0,3,3
"1906 Summer","Australia",0,0,3,3
"1906 Summer","Canada",1,1,0,2
"1906 Summer","Egypt",0,0,0,0
"1906 Summer","Turkey",0,0,0,0
"1908 Summer","UK",147,131,90,368
"1908 Summer","Sweden",48,18,18,84
"1908 Summer","USA",34,16,15,65
"1908 Summer","Canada",14,8,30,52
"1908 Summer","Norway",7,32,3,42
"1908 Summer","France",12,5,23,40
"1908 Summer","Belgium",1,24,8,33
"1908 Summer","Finland",1,1,28,30
"1908 Summer","Germany",4,11,6,21
"1908 Summer","Hungary",7,7,6,20
"1908 Summer","Australia",15,2,2,19
"1908 Summer","Denmark",0,14,3,17
"1908 Summer","Netherlands",0,0,16,16
"1908 Summer","Italy",2,6,0,8
"1908 Summer","Czech Republic",0,0,6,6
"1908 Summer","Greece",0,3,1,4
"1908 Summer","Russia",1,2,0,3
"1908 Summer","South Africa",1,1,0,2
"1908 Summer","Austria",0,0,1,1
"1908 Summer","Switzerland",0,0,0,0
"1908 Summer","Argentina",0,0,0,0
"1908 Summer","Iceland",0,0,0,0
"1912 Summer","Sweden",103,62,25,190
"1912 Summer","UK",47,64,59,170
"1912 Summer","USA",46,25,36,107
"1912 Summer","Denmark",5,49,33,87
"1912 Summer","Norway",40,6,34,80
"1912 Summer","Finland",9,40,22,71
"1912 Summer","Germany",11,19,23,53
"1912 Summer","Hungary",10,17,3,30
"1912 Summer","France",10,11,5,26
"1912 Summer","Netherlands",0,0,26,26
"1912 Summer","Italy",22,1,2,25
"1912 Summer","Belgium",7,1,11,19
"1912 Summer","Austria",0,9,5,14
"1912 Summer","Russia",0,5,9,14
"1912 Summer","Australia",5,2,3,10
"1912 Summer","Canada",3,2,3,8
"1912 Summer","South Africa",5,2,0,7
"1912 Summer","Switzerland",2,0,0,2
"1912 Summer","Greece",1,0,1,2
"1912 Summer","Chile",0,0,0,0
"1912 Summer","Portugal",0,0,0,0
"1912 Summer","NA",0,0,0,0
"1912 Summer","Poland",0,0,0,0
"1912 Summer","Turkey",0,0,0,0
"1912 Summer","Iceland",0,0,0,0
"1912 Summer","Luxembourg",0,0,0,0
"1912 Summer","Czech Republic",0,0,0,0
"1912 Summer","Japan",0,0,0,0
"1912 Summer","Serbia",0,0,0,0
"1920 Summer","USA",111,45,38,194
"1920 Summer","Belgium",57,65,66,188
"1920 Summer","Sweden",52,38,64,154
"1920 Summer","France",13,71,57,141
"1920 Summer","Norway",58,52,27,137
"1920 Summer","UK",52,42,17,111
"1920 Summer","Italy",67,9,8,84
"1920 Summer","Denmark",26,44,1,71
