"Olympic Games","Hockey Medals","Total Medals","% Hockey Medals",
"1896 Summer",0,0,0,
"1900 Summer",0,2,0,
"1904 Summer",0,0,0,
"1906 Summer",0,0,0,
"1908 Summer",0,0,0,
"1912 Summer",0,0,0,
"1920 Summer",0,0,0,
"1924 Summer",0,0,0,
"1924 Winter",0,7,0,
"1928 Summer",14,14,100,
"1928 Winter",0,0,0,
"1932 Summer",15,15,100,
"1932 Winter",0,0,0,
"1936 Summer",19,19,100,
"1936 Winter",0,0,0,
"1948 Summer",20,20,100,
"1948 Winter",0,0,0,
"1952 Summer",14,15,93.33,
"1952 Winter",0,0,0,
"1956 Summer",17,17,100,
"1956 Winter",0,0,0,
"1960 Summer",13,13,100,
"1960 Winter",0,0,0,
"1964 Summer",15,15,100,
"1964 Winter",0,0,0,
"1968 Summer",16,16,100,
"1968 Winter",0,0,0,
"1972 Summer",14,14,100,
"1972 Winter",0,0,0,
"1976 Summer",0,0,0,
"1976 Winter",0,0,0,
"1980 Summer",16,16,100,
"1980 Winter",0,0,0,
"1984 Summer",0,0,0,
"1984 Winter",0,0,0,
"1988 Summer",0,0,0,
"1988 Winter",0,0,0,
"1992 Summer",0,0,0,
"1992 Winter",0,0,0,
"1994 Winter",0,0,0,
"1996 Summer",0,1,0,
"1998 Winter",0,0,0,
"2000 Summer",0,1,0,
"2002 Winter",0,0,0,
"2004 Summer",0,1,0,
"2006 Winter",0,0,0,
"2008 Summer",0,3,0,
"2010 Winter",0,0,0,
"2012 Summer",0,6,0,
"2014 Winter",0,0,0,
"2016 Summer",0,2,0,
