"Olympic Games","Female Athletes",
"1900 Summer",23,
"1904 Summer",6,
"1906 Summer",6,
"1908 Summer",44,
"1912 Summer",53,
"1920 Summer",78,
"1924 Summer",156,
"1928 Summer",312,
"1932 Summer",201,
"1936 Summer",361,
"1948 Summer",446,
"1952 Summer",521,
"1956 Summer",384,
"1960 Summer",613,
"1964 Summer",680,
"1968 Summer",783,
"1972 Summer",1060,
"1976 Summer",1260,
"1980 Summer",1123,
"1984 Summer",1569,
"1988 Summer",2203,
"1992 Summer",2723,
"1996 Summer",3517,
"2000 Summer",4068,
"2004 Summer",4300,
"2008 Summer",4609,
"2012 Summer",4654,
"2016 Summer",5034,
